@id;@lon;@lat;name;addr:city;addr:street;addr:postcode;addr:housenumber
845315100;10.9884626;49.4557602;Holmbecks;;;;
846287575;11.0691289;49.4630874;Refugium;Nürnberg;Rieterstraße;90419;15
846287579;11.0692264;49.4628157;Da Ugo;Nürnberg;Rückertstraße;90419;11
848467314;11.0766129;49.4535864;Restaurant Oberkrainer am Hauptmarkt;Nürnberg;Hauptmarkt;90403;7
856330312;11.0218719;49.4716374;Thai Food;;;;
856544658;11.0722323;49.4607720;Burgbräustübl;Nürnberg;Jagdstraße;90419;1
856544700;11.0721157;49.4609752;Eiscafe/Ristorante Mario;Nürnberg;Bucher Straße;90419;35
857181416;11.0901284;49.4593722;Pizzeria da Giovanni;Nürnberg;Bayreuther Straße;90409;13a
886626323;11.1132082;49.4444088;Gleißhammer Bräustüberl;;;;
893372142;11.1008327;49.4649588;Zum Welser;;;;
901179637;10.9885250;49.4555909;Sushi Fürth;Fürth;Schwabacher Straße;90763;264
901598582;11.0177264;49.4153685;Altes Spital;Stein;Alter Kirchplatz;90547;4
906640584;11.1053789;49.4647456;Fränkisches Wirtshäusla;Nürnberg;Bismarckstraße;90491;43
907951835;11.1360121;49.4137006;Sirtaki;;;;
918713194;10.9824861;49.4802182;Kulturforum;;;;
920036056;10.9550979;49.4389803;Rialto;Zirndorf;Volkhardtstraße;90513;9
920538517;11.0166456;49.4287248;Zum Krähenwald;Nürnberg;Willstätterstraße;90449;4
924554087;11.0874418;49.4639441;Grevena;Nürnberg;Parkstraße;90409;7
924554164;11.0868697;49.4644409;China Imbiss Kim Mai;Nürnberg;Löbleinstraße;90409;40
925161539;10.9482028;49.4532093;Waldrestaurant;Zirndorf;Am Achterplätzchen;90513;5
930305005;10.9534523;49.4137566;Zur frischen Quelle;Oberasbach;Rehdorfer Straße;90522;8
930305097;10.9527549;49.4132436;Zur Jägerstube;Oberasbach;Rehdorfer Straße;90522;19
931884694;11.0813001;49.4416451;Mesob;;Pillenreuther Straße;;20
934783844;10.9804457;49.4355846;Irodion;Oberasbach;Nürnberger Straße;90522;3a
949822538;11.0813075;49.4475712;Bratwurstglöcklein;Nürnberg;Königs- und Frauentorzwinger;90402;5
958195297;11.0982255;49.4551097;Apple;Nürnberg;Untere Zwingerstraße;90489;9
973821510;11.0579535;49.4455979;Lotos Naturkostladen;Nürnberg;Hessestraße;90443;4
984693760;11.0537441;49.4524365;Asialand;;Bärenschanzstraße;;83
990157523;11.0174883;49.4143234;Gewölbe zum Rednitzgrund;;;;
1000675367;11.0319919;49.4599142;Akimoto;Nürnberg;Fürther Straße;90429;244b
1011893948;11.0457513;49.4315383;Cala Luna;Nürnberg;Schweinauer Hauptstraße;90441;62
1016271983;10.9726070;49.4780636;;;;;
